,OBJECTID,FAR,POP,Area,JU_Type,N_DLBM,N_DLMC,BD,Risk,CA_Per,B_Types,XF_N1,HW_N1,HW_N2,Sta_Type,S21_,nS21_,S22_,nS22_,S11_,nS11_,S12_,nS12_,N1_,nN1_,N2_,nN2_,S_,N_,C_,S1,nS1,S21,S22,S23,nS21,nS22,nS23,nS2,N1,nN1,N2,nN2,Temp1,Temp2,N3,nN3,S,N,C,boundary
0,407011.0,3.47011432957,3467.0,29970.0984639,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,9.13333333333,100.0,67.1875769641,100.0,2.66666666667,0.0,6740.29773886,100.0,4.95781,70.5104738662,110162.611435,70.5015947402,79.167,70.507144194,1.12282238779,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.115681968952,61.5493597348,128695556.734,70.5015947402,0.0,0.0,0.0,100.0,85.219,71.6886712011,1.18873733565,"[[38527178.4633, 3386502.4624], [38527121.8372, 3386430.0557], [38527102.5241, 3386411.1179], [38527089.2117, 3386400.3369], [38527056.7736, 3386387.8679], [38527056.8986, 3386418.8995], [38527016.5231, 3386418.8059], [38527016.3981, 3386408.7433], [38527000.8979, 3386408.7121], [38527000.4604, 3386375.5871], [38526976.8027, 3386370.5499], [38526973.1345, 3386369.9125], [38526970.5349, 3386370.1127], [38526968.1345, 3386371.0121], [38526965.0397, 3386373.4302], [38526953.3975, 3386425.244], [38526951.8355, 3386460.6819], [38526952.2108, 3386560.7457], [38526960.2733, 3386568.4019], [38527059.3372, 3386563.2763], [38527173.9009, 3386510.7126], [38527178.4633, 3386502.4624]]"
1,407019.0,5.63039281436,225.0,1197.1274405,垃圾收集站,1309,环卫用地,0.26,584.849352,,1.#QNAN,1.0,0.0,0.0,2.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,0.0,0.0,0.0,0.0,86.1113333333,0.0,3972.1110414,4.56666666667,100.0,2491.42899459,4136.51562741,1139.0,0.0,0.0,100.0,39.415,0.187949914427,100.0,3942058.76486,2.15952622247,1.0,0.0,0.0,100.0,77.280625,59.2338097911,1.30467085053,"[[38527302.3411, 3386811.2465], [38527289.7161, 3386849.6843], [38527294.0916, 3386862.3723], [38527309.8416, 3386867.6533], [38527324.8413, 3386818.1837], [38527302.3411, 3386811.2465]]"
2,407022.0,3.65376380909,4612.0,37870.9654785,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,6.59516,93.7970307098,146571.359411,93.8023749356,86.1113333333,93.7990347945,0.918040718883,4.56666666667,100.0,2491.42899459,4136.51562741,1139.0,0.0,0.0,100.0,39.415,0.121781949357,64.7948948145,171229443.955,93.8023749356,2.0,0.0,0.0,100.0,77.280625,82.7497243868,0.933907944379,"[[38527528.2188, 3386870.5269], [38527540.7813, 3386848.4017], [38527595.7194, 3386757.7444], [38527596.7435, 3386755.713], [38527597.3437, 3386752.2131], [38527597.0439, 3386750.3127], [38527596.0439, 3386747.4133], [38527594.5439, 3386745.4131], [38527592.6437, 3386743.8126], [38527382.5908, 3386626.2753], [38527362.0283, 3386628.4315], [38527320.1537, 3386757.1519], [38527302.3411, 3386811.2465], [38527324.8413, 3386818.1837], [38527309.8416, 3386867.6533], [38527377.1813, 3386890.2893], [38527377.6193, 3386889.7405], [38527390.7073, 3386854.2581], [38527343.6906, 3386837.8582], [38527363.6539, 3386776.9957], [38527399.9409, 3386790.1953], [38527398.9899, 3386793.7783], [38527416.2183, 3386799.8084], [38527419.3691, 3386790.7323], [38527421.3383, 3386791.4883], [38527430.7363, 3386769.9139], [38527482.8951, 3386800.7381], [38527475.6029, 3386817.653], [38527520.84, 3386845.3745], [38527512.0936, 3386859.7457], [38527511.5937, 3386860.8707], [38527528.2188, 3386870.5269]]"
3,407026.0,2.45791367161,1441.0,17589.7777744,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,2.06063,29.3064876957,45796.1792884,29.3085251955,86.1113333333,29.3072517581,2.9382261443,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0819225813129,43.5874533716,53500590.7451,29.3085251954,3.0,0.0,0.0,100.0,85.219,47.0405673895,1.81160655003,"[[38527260.2, 3386799.1483], [38527244.4027, 3386794.2151], [38527228.0275, 3386792.8089], [38527229.7775, 3386770.2149], [38527159.4641, 3386767.4341], [38527159.2141, 3386771.4029], [38527139.7765, 3386770.5593], [38527129.1513, 3386770.3404], [38527129.4013, 3386775.3405], [38527107.0887, 3386774.7157], [38527080.1073, 3386773.2778], [38527079.5781, 3386808.9966], [38527077.4613, 3386815.6113], [38527071.4598, 3386828.9633], [38527095.0263, 3386839.9665], [38527095.0263, 3386842.0602], [38527114.0891, 3386851.0915], [38527108.7766, 3386863.4666], [38527132.5895, 3386872.9041], [38527153.4023, 3386882.154], [38527153.4022, 3386882.404], [38527155.3397, 3386883.0291], [38527160.2149, 3386885.1853], [38527198.5903, 3386897.2165], [38527214.9655, 3386906.93535], [38527218.7158, 3386908.9666], [38527226.0283, 3386896.5603], [38527251.028, 3386832.3407], [38527251.6589, 3386830.5921], [38527260.2, 3386799.1483]]"
4,407106.0,0.0,0.0,2102.88082681,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,0.0,0.0,0.0,0.0,86.1113333333,0.0,3972.1110414,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,4.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,"[[38527187.2388, 3386515.6647], [38527178.4633, 3386502.4624], [38527173.9009, 3386510.7126], [38527059.3372, 3386563.2763], [38526960.2733, 3386568.4019], [38526952.2108, 3386560.7457], [38526952.6859, 3386575.9659], [38526960.0175, 3386575.747], [38526997.6579, 3386574.6235], [38527003.646, 3386574.4933], [38527015.9644, 3386574.2255], [38527046.2915, 3386573.5662], [38527056.6012, 3386572.4867], [38527068.8273, 3386567.0751], [38527095.7024, 3386555.1795], [38527101.0727, 3386552.8024], [38527148.6623, 3386531.7381], [38527163.0809, 3386525.8744], [38527163.6082, 3386525.6601], [38527183.7915, 3386517.4518], [38527187.2388, 3386515.6647]]"
5,407111.0,4.57849365957,4226.0,27693.2233851,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,9.13333333333,100.0,67.1875769641,100.0,2.66666666667,0.0,6740.29773886,100.0,6.04318,85.9467154769,134306.921618,85.9534104663,79.167,85.9492260979,0.921090318019,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.152600509563,81.1921144142,156901727.598,85.9534104663,5.0,0.0,0.0,100.0,85.219,86.311525852,0.987342063053,"[[38527308.7392, 3386574.9129], [38527310.2393, 3386569.1131], [38527308.5397, 3386549.6127], [38527304.2391, 3386519.8116], [38527297.7387, 3386490.9119], [38527286.0205, 3386451.7647], [38527272.3981, 3386407.6275], [38527267.6378, 3386391.3104], [38527265.0383, 3386377.8103], [38527264.0381, 3386361.1109], [38527265.3377, 3386345.1111], [38527267.338, 3386332.7101], [38527268.7045, 3386328.0331], [38527271.0444, 3386322.8968], [38527265.588, 3386319.2722], [38527225.0735, 3386291.5006], [38527205.8233, 3386311.2518], [38527148.7627, 3386372.3617], [38527129.0865, 3386360.6485], [38527108.0247, 3386385.4274], [38527106.11, 3386387.6233], [38527116.2363, 3386395.3113], [38527125.5366, 3386404.0114], [38527133.8367, 3386413.4119], [38527184.968, 3386477.9231], [38527257.5089, 3386561.0244], [38527262.439, 3386564.5127], [38527267.6389, 3386567.6133], [38527277.5396, 3386572.5127], [38527290.6393, 3386577.413], [38527297.8395, 3386579.4129], [38527302.8394, 3386579.3123], [38527306.4395, 3386577.5125], [38527308.7392, 3386574.9129]]"
6,407116.0,0.0,0.0,2308.34872487,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,0.0,0.0,0.0,0.0,86.1113333333,0.0,3972.1110414,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,6.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,"[[38527100.275, 3386563.9635], [38527162.6505, 3386536.6191], [38527166.7759, 3386535.8065], [38527185.2759, 3386525.9626], [38527196.8357, 3386530.1027], [38527187.2388, 3386515.6647], [38527183.7915, 3386517.4518], [38527163.6082, 3386525.6601], [38527163.0809, 3386525.8744], [38527148.6623, 3386531.7381], [38527101.0727, 3386552.8024], [38527095.7024, 3386555.1795], [38527068.8273, 3386567.0751], [38527056.6012, 3386572.4867], [38527046.2915, 3386573.5662], [38527015.9644, 3386574.2255], [38527003.646, 3386574.4933], [38526997.6579, 3386574.6235], [38526960.0175, 3386575.747], [38526952.6859, 3386575.9659], [38526952.961, 3386584.777], [38527019.3991, 3386581.7454], [38527059.3373, 3386581.9014], [38527100.275, 3386563.9635]]"
7,407117.0,0.0,0.0,3043.55228378,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,0.0,0.0,0.0,0.0,86.1113333333,0.0,3972.1110414,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,"[[38527308.7392, 3386574.9129], [38527306.4395, 3386577.5125], [38527302.8394, 3386579.3123], [38527297.8395, 3386579.4129], [38527290.6393, 3386577.413], [38527277.5396, 3386572.5127], [38527267.6389, 3386567.6133], [38527262.439, 3386564.5127], [38527257.5089, 3386561.0244], [38527184.968, 3386477.9231], [38527133.8367, 3386413.4119], [38527125.5366, 3386404.0114], [38527116.2363, 3386395.3113], [38527106.11, 3386387.6233], [38527100.5775, 3386393.9683], [38527121.4409, 3386415.0035], [38527131.5566, 3386426.5641], [38527141.2024, 3386437.5879], [38527197.9943, 3386510.0887], [38527228.0511, 3386547.4001], [38527245.4634, 3386564.9056], [38527270.7685, 3386580.7576], [38527297.6041, 3386589.9467], [38527306.7467, 3386590.8261], [38527308.7392, 3386574.9129]]"
8,407126.0,2.63006806725,237.0,2708.29607555,消防大队,1310,消防用地,0.26,708.898896,,1.#QNAN,1.0,0.0,0.0,3.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,0.0,0.0,0.0,0.0,86.1113333333,0.0,3972.1110414,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0875088961431,46.5596892714,5049488.9806,2.76619515692,8.0,0.0,0.0,100.0,85.219,37.2196162647,2.28962597019,"[[38527162.6505, 3386536.6191], [38527100.275, 3386563.9635], [38527107.6501, 3386583.1511], [38527106.7127, 3386597.1198], [38527157.9009, 3386599.5258], [38527158.9008, 3386599.3385], [38527162.6505, 3386536.6191]]"
9,407129.0,0.0,0.0,1823.62088822,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,9.13333333333,100.0,67.1875769641,100.0,3.16666666667,33.3333333333,6740.29773886,100.0,0.0,0.0,0.0,0.0,86.1113333333,0.0,3972.1110414,4.56666666667,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,9.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,"[[38527306.7467, 3386590.8261], [38527297.6041, 3386589.9467], [38527270.7685, 3386580.7576], [38527245.4634, 3386564.9056], [38527228.0511, 3386547.4001], [38527197.9943, 3386510.0887], [38527195.6784, 3386511.2893], [38527187.2388, 3386515.6647], [38527196.8357, 3386530.1027], [38527200.1915, 3386535.1514], [38527212.7137, 3386547.9941], [38527229.9013, 3386567.4626], [38527251.9644, 3386582.7755], [38527281.2772, 3386600.5567], [38527287.3399, 3386601.4317], [38527305.3668, 3386601.8467], [38527306.7467, 3386590.8261]]"
